cycle,regime,local_cycle,active_mode,mask_val,computed,computed_mod,e_field_base,e_field_mod,attractor_base,attractor_mod,attractor_changed,delta_computed,delta_mod,transition_base,mode_lfsr_state
0,1,0,0,0,83,83,1,1,4,4,0,67,67,1,32590
1,1,1,0,0,151,151,2,2,4,4,0,68,68,0,32413
2,1,2,0,0,223,223,3,3,4,4,0,72,72,0,32058
3,1,3,0,0,302,302,4,4,4,4,0,79,79,0,31348
4,1,4,0,0,390,390,6,6,4,4,0,88,88,0,29929
5,1,5,0,0,452,452,7,7,4,4,0,62,62,0,27091
6,1,6,0,0,513,513,8,8,4,4,0,61,61,0,21415
7,1,7,0,0,564,564,8,8,4,4,0,51,51,0,10062
8,1,8,0,0,600,600,9,9,4,4,0,36,36,0,20125
9,1,9,0,0,673,673,10,10,4,4,0,73,73,0,7482
10,1,10,0,0,754,754,11,11,4,4,0,81,81,0,14964
11,1,11,0,0,789,789,12,12,4,4,0,35,35,0,29929
12,1,12,0,0,858,858,13,13,4,4,0,69,69,0,27091
13,1,13,0,0,933,933,14,14,4,4,0,75,75,0,21415
14,1,14,0,0,1018,1018,15,15,4,4,0,85,85,0,10062
15,1,15,0,0,1061,1061,16,16,4,4,0,43,43,0,20125
16,1,16,0,0,1147,1147,17,17,4,4,0,86,86,0,7482
17,1,17,0,0,1191,1191,18,18,4,4,0,44,44,0,14964
18,1,18,0,0,1278,1278,19,19,4,4,0,87,87,0,29929
19,1,19,0,0,1325,1325,20,20,4,4,0,47,47,0,27091
20,1,20,0,0,1413,1413,22,22,4,4,0,88,88,0,21415
21,1,21,0,0,1475,1475,23,23,4,4,0,62,62,0,10062
22,1,22,0,0,1534,1534,23,23,4,4,0,59,59,0,20125
23,1,23,0,0,1581,1581,24,24,4,4,0,47,47,0,7482
24,1,24,0,0,1669,1669,26,26,4,4,0,88,88,0,14964
25,1,25,0,0,1730,1730,27,27,4,4,0,61,61,0,29929
26,1,26,0,0,1784,1784,27,27,4,4,0,54,54,0,27091
27,1,27,0,0,1825,1825,28,28,4,4,0,41,41,0,21415
28,1,28,0,0,1906,1906,29,29,4,4,0,81,81,0,10062
29,1,29,0,0,1941,1941,30,30,4,4,0,35,35,0,20125
30,1,30,0,0,2011,2011,31,31,4,4,0,70,70,0,7482
31,1,31,0,0,2087,2087,32,32,4,4,0,76,76,0,14964
32,1,32,0,0,2175,2175,33,33,4,4,0,88,88,0,29929
33,1,33,0,0,2223,2223,34,34,4,4,0,48,48,0,27091
34,1,34,0,0,2311,2311,36,36,4,4,0,88,88,0,21415
35,1,35,0,0,2375,2375,37,37,4,4,0,64,64,0,10062
36,1,36,0,0,2438,2438,38,38,4,4,0,63,63,0,20125
37,1,37,0,0,2500,2500,39,39,4,4,0,62,62,0,7482
38,1,38,0,0,2560,2560,40,40,4,4,0,60,60,0,14964
39,1,39,0,0,2611,2611,40,40,4,4,0,51,51,0,29929
40,1,40,0,0,2646,2646,41,41,4,4,0,35,35,0,27091
41,1,41,0,0,2716,2716,42,42,4,4,0,70,70,0,21415
42,1,42,0,0,2792,2792,43,43,4,4,0,76,76,0,10062
43,1,43,0,0,2880,2880,45,45,4,4,0,88,88,0,20125
44,1,44,0,0,2929,2929,45,45,4,4,0,49,49,0,7482
45,1,45,0,0,2962,2962,46,46,4,4,0,33,33,0,14964
46,1,46,0,0,3029,3029,47,47,4,4,0,67,67,0,29929
47,1,47,0,0,3099,3099,48,48,4,4,0,70,70,0,27091
48,1,48,0,0,3174,3174,49,49,4,4,0,75,75,0,21415
49,1,49,0,0,3260,3260,50,50,2,2,0,86,86,1,10062
50,1,50,0,0,3304,3304,51,51,2,2,0,44,44,0,20125
51,1,51,0,0,3392,3392,53,53,2,2,0,88,88,0,7482
52,1,52,0,0,3442,3442,53,53,2,2,0,50,50,0,14964
53,1,53,0,0,3477,3477,54,54,2,2,0,35,35,0,29929
54,1,54,0,0,3547,3547,55,55,2,2,0,70,70,0,27091
55,1,55,0,0,3622,3622,56,56,2,2,0,75,75,0,21415
