cycle,e_sweep,e_obs,attr_std,trans_std,e_alt,attr_r1,r1_disagree,trans_r1,pop_xor,attr_r2,r2_disagree,trans_r2,e_lag,attr_r3,r3_disagree,trans_r3,e_r4,attr_r4,r4_disagree,trans_r4,rot_k,epoch_mask
0,1,0,1,1,2,4,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1,2,1,4,1,4,4,0,0,6,4,0,1,0,1,1,0,1,4,0,1,0,0
2,3,2,4,0,9,4,0,0,4,4,0,0,1,4,0,1,2,4,0,0,0,0
3,4,3,4,0,12,4,0,0,4,4,0,0,2,4,0,0,3,4,0,0,0,0
4,5,4,4,0,16,4,0,0,4,4,0,0,3,4,0,0,4,4,0,0,0,0
5,6,6,4,0,27,4,0,0,2,4,0,0,4,4,0,0,6,4,0,0,0,0
6,7,7,4,0,31,4,0,0,5,4,0,0,6,4,0,0,7,4,0,0,0,0
7,8,7,4,0,28,4,0,0,6,4,0,0,7,4,0,0,7,4,0,0,0,0
8,9,8,4,0,38,4,0,0,3,4,0,0,7,4,0,0,8,4,0,0,0,0
9,10,9,4,0,33,4,0,0,7,4,0,0,8,4,0,0,9,4,0,0,0,0
10,11,10,4,0,44,4,0,0,6,4,0,0,9,4,0,0,10,4,0,0,0,0
11,12,11,4,0,43,4,0,0,5,4,0,0,10,4,0,0,11,4,0,0,0,0
12,13,12,4,0,54,2,1,1,6,4,0,0,11,4,0,0,12,4,0,0,0,0
13,14,13,4,0,51,2,1,0,7,4,0,0,12,4,0,0,13,4,0,0,0,0
14,15,14,4,0,62,2,1,0,9,4,0,0,13,4,0,0,14,4,0,0,0,0
15,16,15,4,0,56,2,1,0,8,4,0,0,14,4,0,0,10,4,0,0,3,7482
16,17,16,4,0,9,4,0,1,5,4,0,0,15,4,0,0,55,2,1,1,3,7482
17,18,17,4,0,15,4,0,0,6,4,0,0,16,4,0,0,58,2,1,0,3,7482
18,19,18,4,0,0,1,1,1,7,4,0,0,17,4,0,0,39,4,0,1,3,7482
19,20,19,4,0,6,4,0,1,7,4,0,0,18,4,0,0,42,4,0,0,3,7482
20,21,20,4,0,24,4,0,0,6,4,0,0,19,4,0,0,16,4,0,0,3,7482
21,22,22,4,0,19,4,0,0,8,4,0,0,20,4,0,0,4,4,0,0,3,7482
22,23,22,4,0,16,4,0,0,5,4,0,0,22,4,0,0,3,4,0,0,3,7482
23,24,23,4,0,20,4,0,0,9,4,0,0,22,4,0,0,10,4,0,0,3,7482
24,25,24,4,0,46,4,0,0,7,4,0,0,23,4,0,0,48,4,0,0,3,7482
25,26,26,4,0,37,4,0,0,8,4,0,0,24,4,0,0,36,4,0,0,3,7482
26,27,26,4,0,38,4,0,0,9,4,0,0,26,4,0,0,35,4,0,0,3,7482
27,28,27,4,0,34,4,0,0,4,4,0,0,26,4,0,0,42,4,0,0,3,7482
28,29,28,4,0,63,3,1,1,6,4,0,0,27,4,0,0,23,4,0,0,3,7482
29,30,29,4,0,56,2,1,1,5,4,0,0,28,4,0,0,25,4,0,0,3,7482
30,31,30,4,0,55,2,1,0,7,4,0,0,29,4,0,0,5,4,0,0,3,7482
31,32,31,4,0,50,2,1,0,6,4,0,0,30,4,0,0,0,1,1,1,6,5353
32,33,32,4,0,17,4,0,1,4,4,0,0,31,4,0,0,12,4,0,1,6,5353
33,34,33,4,0,23,4,0,0,5,4,0,0,32,4,0,0,36,4,0,0,6,5353
34,35,34,4,0,27,4,0,0,7,4,0,0,33,4,0,0,52,2,1,1,6,5353
35,36,36,4,0,2,4,0,0,6,4,0,0,34,4,0,0,16,4,0,1,6,5353
36,37,37,4,0,6,4,0,0,4,4,0,0,36,4,0,0,16,4,0,0,6,5353
37,38,38,4,0,11,4,0,0,6,4,0,0,37,4,0,0,17,4,0,0,6,5353
38,39,39,4,0,15,4,0,0,7,4,0,0,38,4,0,0,19,4,0,0,6,5353
39,40,39,4,0,12,4,0,0,4,4,0,0,39,4,0,0,42,4,0,0,6,5353
40,41,40,4,0,54,2,1,1,8,4,0,0,39,4,0,0,56,2,1,1,6,5353
41,42,41,4,0,48,4,0,1,7,4,0,0,40,4,0,0,29,4,0,1,6,5353
42,43,42,4,0,60,2,1,1,6,4,0,0,41,4,0,0,7,4,0,0,6,5353
