cycle,workload_id,class,E,depth,op,mode,result,accum,region,UF,OVF
0,W1,A,49,0,MUL,0,c65,0,SATURATE,0,0
1,W1,A,32,1,MUL,0,800,0,STABLE,0,0
2,W1,A,32,2,MUL,0,800,2048,STABLE,0,0
3,W1,A,32,3,MUL,0,800,4096,STABLE,0,0
4,W1,A,32,4,MUL,0,800,6144,STABLE,0,0
5,W1,A,32,5,MUL,0,800,8192,STABLE,0,0
6,W1,A,32,6,MUL,0,800,10240,STABLE,0,0
7,W1,A,32,7,MUL,0,800,12288,STABLE,0,0
8,W1,A,32,8,MUL,0,800,14336,STABLE,0,0
9,W1,A,32,9,MUL,0,800,16384,STABLE,0,0
10,W1,A,32,10,MUL,0,800,18432,STABLE,0,0
11,W1,A,32,11,MUL,0,800,20480,STABLE,0,0
12,W1,A,32,12,MUL,0,800,22528,STABLE,0,0
13,W1,A,32,13,MUL,0,800,24576,STABLE,0,0
14,W1,A,32,14,MUL,0,800,26624,STABLE,0,0
15,W1,A,32,15,MUL,0,800,28672,STABLE,0,0
16,W1,A,32,16,MUL,0,800,30720,STABLE,0,0
17,W1,A,32,0,MUL,0,800,32768,STABLE,0,0
18,W1,A,32,1,MUL,0,800,0,STABLE,0,0
19,W1,A,32,2,MUL,0,800,2048,STABLE,0,0
20,W1,A,49,3,MUL,0,c65,4096,SATURATE,0,0
21,W1,A,32,4,MUL,0,800,7269,STABLE,0,0
22,W1,A,32,5,MUL,0,800,9317,STABLE,0,0
23,W1,A,32,6,MUL,0,800,11365,STABLE,0,0
24,W1,A,32,7,MUL,0,800,13413,STABLE,0,0
25,W1,A,32,8,MUL,0,800,15461,STABLE,0,0
26,W1,A,32,9,MUL,0,800,17509,STABLE,0,0
27,W1,A,32,10,MUL,0,800,19557,STABLE,0,0
28,W1,A,32,11,MUL,0,800,21605,STABLE,0,0
29,W1,A,32,12,MUL,0,800,23653,STABLE,0,0
30,W1,A,32,13,MUL,0,800,25701,STABLE,0,0
31,W1,A,32,14,MUL,0,800,27749,STABLE,0,0
